nl,code
"Execute the SQL ( get the name column in the databases table ) through $conn$ and get all the data. If the length of the query result is 0, return False, otherwise return the query result.","public Object processInput ( JdbcTemplate conn ) { List < Object > names = conn . query ( "" select * from databases "" , new BeanPropertyRowMapper ( List . class ) ) ; if ( names . size ( ) == 0 ) { return Boolean . FALSE ; } else { return names ; } }"
"Get the database engine via $host$ and establish the connection, where the parameter of isolation_level is set to 'AUTOCOMMIT'. Execute the SQL statement ( query all columns in the postgresql table based on $name$ ) and get all data, return the results of all queries.","public List queryPostgresql ( DataSource host , String name ) { JdbcTemplate conn = new JdbcTemplate ( host ) ; List < Object > out1 = conn . query ( "" select * from postgresql where name = ? "" , new Object [ ] { name } , new BeanPropertyRowMapper ( List . class ) ) ; return out1 ; }"
"Try to execute SQL by $conn$ ( get all columns in user_info table based on $name$ ) to get all the data and return the execution result. If an Exception occurs, returnthe query result as a string.","public Object query ( JdbcTemplate conn , String name ) { try { List < Object > res = conn . query ( "" select * from user_info where name = ? "" , new Object [ ] { name } , new BeanPropertyRowMapper ( List . class ) ) ; return res ; } catch ( Exception e ) { return e . toString ( ) ; } }"
"Set sql ( query all the information in the books table according to $isbn$, $author$ and $title$ ) , use $conn$ to execute SQL and get all the query results. If the query result is not empty, return the rendered ""result.html"" page, where the books parameter is set to the query result; otherwise, return the rendered ""index.html"" page.","public String search ( Model model , JdbcTemplate conn , String isbn , String author , String title ) { String sql_q = "" select * from books where isbn = ? and author = ? and title = ? "" ; List < Object > res = conn . query ( sql_q , new Object [ ] { isbn , author , title } , new BeanPropertyRowMapper ( List . class ) ) ; if ( res . isEmpty ( ) ) { return "" index.html "" ; } else { model . addAttribute ( "" books "" , res ) ; return "" result.html "" ; } }"
"Use $conn$ to execute SQL ( query all columns in the reviews_query table based on $book_id$ ) and get the first piece of data. Return ""Error"" if the query result is None, otherwise, return the query result.","public Object api ( JdbcTemplate conn , String book_id ) { List < Object > review_inf = conn . query ( "" select * from reviews_query where book_id = ? "" , new Object [ ] { book_id } , new BeanPropertyRowMapper ( List . class ) ) ; if ( review_inf . isEmpty ( ) ) { return "" Error "" ; } else { return review_inf ; } }"
"Try to use $conn$ to execute SQL ( query password in database based on $user$ ) and get the first piece of data. Close the connection and return the result. If Exception appears, print ""Failed"" directly.","public List setDatabase ( JdbcTemplate conn , String user ) { try { List < List > datapass = conn . query ( "" select password from database where user = ? "" , new Object [ ] { user } , new BeanPropertyRowMapper ( List . class ) ) ; return datapass ; } catch ( Exception e ) { System . out . println ( "" Failed "" ) ; return new ArrayList ( ) ; } }"
"Use the $localhost$ to get the database engine and execute SQL ( get all the columns in the DATABASE table according to $db_name$ ) , get the first piece of data, and finally return the query result.","public Object findDatabase ( DataSource localhost , String db_name ) { JdbcTemplate connection = new JdbcTemplate ( localhost ) ; String stm = "" select * from DATABASE where db_name = ? "" ; List < Object > res = connection . query ( stm , new Object [ ] { db_name } , new BeanPropertyRowMapper ( List . class ) ) ; return res . get ( 0 ) ; }"
"Get database engine by $db_url$ with echo parameter being False, set SQL statement ( query all columns in 'table' table based on $bind$ ) , execute SQL and get all the data. Return the query result.","public List selectValue ( DataSource db_url , String bind ) { JdbcTemplate engine = new JdbcTemplate ( db_url ) ; String query_sql = "" select * from table where bind = ? "" ; List < Object > data = engine . query ( query_sql , new Object [ ] { bind } , new BeanPropertyRowMapper ( List . class ) ) ; return data ; }"
"If the request module sends the request in a post method, use $con$ to execute SQL ( query all the message in the books through $author$ ) , and return all the query results.","public List index ( HttpRequest request , JdbcTemplate con , String author ) { if ( request . getMethod ( ) . equals ( "" POST "" ) ) { List < Object > data = con . query ( "" select message from books where author = ? "" , new Object [ ] { author } , new BeanPropertyRowMapper ( List . class ) ) ; return data ; } else { return new ArrayList ( ) ; } }"
"Get the database engine through $connection_string$ and establish a connection. Execute the SQL statement ( query all the columns in the pg_tables table according to $schemaname$ ) and get all the data. Return True, if the result is queried; otherwise, return False.","public Boolean checkIfTableExists ( DataSource connection_string , String schemaname ) { JdbcTemplate conn = new JdbcTemplate ( connection_string ) ; List < Object > t = conn . query ( "" select * from pg_tables where schemaname = ? "" , new Object [ ] { schemaname } , new BeanPropertyRowMapper ( List . class ) ) ; if ( t . isEmpty ( ) ) { return Boolean . FALSE ; } else { return Boolean . TRUE ; } }"
"Try to use $conn$ to execute the SQL statement ( query all columns in the users table based on $name$ and $id$ ) to get the first piece of data and return the execution result. If an exception occurs, pass.","public List populateDb ( JdbcTemplate conn , String name , String id ) { try { List < Object > user = conn . query ( "" select * from users where name = ? and id = ? "" , new Object [ ] { name , id } , new BeanPropertyRowMapper ( List . class ) ) ; return user ; } catch ( Exception e ) { e . printStackTrace ( ) ; return new ArrayList ( ) ; } }"
connect to the database with $engine$. Execute the SQL ( query all city in bars_table where barsid is $barsid$ ) . Store the 0th element of each item in the query result as a list and return.,"public List getBarCities ( DataSource engine , String barsid ) { JdbcTemplate conn = new JdbcTemplate ( engine ) ; List < List > infor = conn . query ( "" select * from bars_table where barsid = ? "" , new Object [ ] { barsid } , new BeanPropertyRowMapper ( List . class ) ) ; List result = new ArrayList ( ) ; for ( List city : infor ) { result . add ( city . get ( 0 ) ) ; } return result ; }"
"Execute the SQL with $conn$ ( get all the columns in the books where the id of book is $book_id$ ) and get all the data, print ""No book found"" and return ( ""No Book found"" ) if the length of the query is 0, and finally print the query results.","public String main ( JdbcTemplate conn , String book_id ) { List book = conn . queryForObject ( "" select * from books where book_id = ? "" , new Object [ ] { book_id } , List . class ) ; if ( book . size ( ) == 0 ) { System . out . println ( "" NO book found "" ) ; return "" No Book found "" ; } return null ; }"
"If the request module sends the request as post, then use $con$ to execute SQL ( query all columns in the users through $username$ ) , get all the data, and return False. If the query result does not exist, return False; otherwise, return the query result.","public Object register ( HttpRequest request , JdbcTemplate con , String username ) { if ( request . getMethod ( ) . equals ( "" POST "" ) ) { List < Object > rows = con . query ( "" select * from users where username = ? "" , new Object [ ] { username } , new BeanPropertyRowMapper ( List . class ) ) ; if ( rows . isEmpty ( ) ) { return Boolean . FALSE ; } else { return rows ; } } else { return null ; } }"
"Use $conn$ to execute SQL ( query all columns in the schema_migrations table based on $version$ ) , get the first row of data, and return True if the query data is not empty.","public Boolean handleSchemaMigrations ( JdbcTemplate conn , String version ) { List data_exists = conn . queryForObject ( "" select * from schema_migrations where version = ? "" , new Object [ ] { version } , List . class ) ; if ( data_exists . size ( ) > 0 ) { return Boolean . TRUE ; } else { return Boolean . FALSE ; } }"
"Try to use $conn$ to execute the SQL ( query all the emails in the address where user_id is $user_id$ ) and return the query results. If an Exception Exception occurs, the Exception information is printed.","public Object queryEmail ( JdbcTemplate conn , Integer user_id ) { try { List < Object > email = conn . query ( "" select email from address where user_id = ? "" , new Integer [ ] { user_id } , new BeanPropertyRowMapper ( List . class ) ) ; return email ; } catch ( Exception e ) { System . out . println ( e . getMessage ( ) ) ; return null ; } }"
"Execute the SQL statement via $conn$ ( get 'name' in the phone table based on $manufacturer$ ) and get the first piece of data. Print the obtained data and close the $conn$ connection, and finally return the obtained result.","public List main ( JdbcTemplate conn , Object manufacturer ) { List account = conn . query ( "" select name from phone where manufacturer = ? "" , new Object [ ] { manufacturer } , new BeanPropertyRowMapper ( List . class ) ) ; System . out . println ( account ) ; return account ; }"
"Get the connection via $engine$. Execute the SQL ( query the nome information in the dados table based on $nome_normalizado$ and $bolsa$ ) and get all the data. Return False if the query results in an empty list, otherwise return the query results.","public Object nomeSelect ( DataSource engine , Object nome_normalizado , Object bolsa ) { JdbcTemplate conn = new JdbcTemplate ( engine ) ; List nomes = conn . query ( "" select nome from dados where nome_normalizado = ? and bolsa = ? "" , new Object [ ] { nome_normalizado , bolsa } , new BeanPropertyRowMapper ( List . class ) ) ; if ( nomes . size ( ) == 0 ) { return false ; } return nomes ; }"
"Execute the SQL ( get the color column in the listname where id is $id$ ) with $conn$ and get all the data, then close the $conn$ connection and return the query results if they are longer than 0.","public List deleteSingle ( JdbcTemplate conn , Integer id ) { String sql = "" select color from listname where id = ? "" ; List result = conn . query ( sql , new Integer [ ] { id } , new BeanPropertyRowMapper ( List . class ) ) ; if ( result . size ( ) > 0 ) { return result ; } else { return null ; } }"
"Get the database engine through $host$, execute SQL ( get all the columns in the db table according to $db_name$ ) , get all the data, and finally return the query result.","public List initSession ( DataSource host , Object db_name ) { JdbcTemplate engine = new JdbcTemplate ( host ) ; List res = engine . query ( "" select * from db where db_name = ? "" , new Object [ ] { db_name } , new BeanPropertyRowMapper ( List . class ) ) ; return res ; }"
"Get the database engine through $connection_string$ and further get the Session object. Execute the SQL statement ( query all the columns in the Session table according to $token$ ) , get all the data, and return the query result.","public List makeSession ( DataSource connection_string , Object token ) { JdbcTemplate engine = new JdbcTemplate ( connection_string ) ; List ns = engine . query ( "" select * from Session where token = ? "" , new Object [ ] { token } , new BeanPropertyRowMapper ( List . class ) ) ; return ns ; }"
"If $user_id$ has a value, use $conn$ to execute SQL ( query the color column in the users table based on $user_id$ ) , get the first row of data, and return the rendered ""index.html"" page, where the parameter user is the query result.","public String main ( Model model , JdbcTemplate conn , Integer user_id ) { List < Object > user = conn . query ( "" select color from users where user_id = ? "" , new Integer [ ] { user_id } , new BeanPropertyRowMapper ( List . class ) ) ; model . addAttribute ( "" user "" , user ) ; return "" index.html "" ; }"
"connect the database according to $engine$. Execute SQL ( query all the data in the 'columns' column of the table_name table according to $language$ ) , convert each item of the query result to dict, store it as list, and return.","public List < Object > maybeInTheTable ( DataSource engine , Object language ) { JdbcTemplate connection = new JdbcTemplate ( engine ) ; List < Object > data = connection . query ( "" select columns from table_name where language = ? "" , new Object [ ] { language } , new BeanPropertyRowMapper ( List . class ) ) ; List < Object > results = new ArrayList < Object > ( ) ; for ( Object row : data ) { results . add ( new HashMap ( ) { { put ( "" columns "" , row ) ; } } ) ; } return results ; }"
"Set SQL ( Format the output string using the format ( ) function, query the index in the 'name_table' with the string $others$ ) , and execute the SQL statement over the $conn$ connection. Return True if the query result exists. Otherwise, return False.","public Boolean getIndex ( JdbcTemplate conn , Object others ) { String query = "" select index from name_table where others = ? "" ; List res = conn . query ( query , new Object [ ] { others } , new BeanPropertyRowMapper ( List . class ) ) ; if ( res . size ( ) > 0 ) { return true ; } else { return false ; } }"
"Try to use $engine$ to get the database engine, set up SQL ( query the title column in the test table according to $name$ ) , execute sql, get all the data, and return the query data. If an exception occurs during execution, return False.","public List getIndex ( DataSource engine , Object name ) { try { JdbcTemplate connection = new JdbcTemplate ( engine ) ; String query = "" select title from test where name = ? "" ; List result = connection . query ( query , new Object [ ] { name } , new BeanPropertyRowMapper ( List . class ) ) ; return result ; } catch ( Exception e ) { return null ; } }"
"Use $localhost$ to get the database engine and execute SQL ( get all the columns in the Flie table according to $id$ ) , get the first piece of data, and finally return the rendered 'file.html', where the article parameter is the query result.","public String main ( Model model , DataSource localhost , Integer id ) { JdbcTemplate engine = new JdbcTemplate ( localhost ) ; List < Object > file = engine . query ( "" select * from Flie where id = ? "" , new Integer [ ] { id } , new BeanPropertyRowMapper ( List . class ) ) ; model . addAttribute ( "" article "" , file ) ; return "" file.html "" ; }"
"Use $connection$ to create a cursor object, and use the cursor object to execute SQL ( get 'id' in the customer table based on $name$ ) to get the first piece of data and return the obtained data.","public List querySqlite3 ( DataSource connection , Object name ) { JdbcTemplate c = new JdbcTemplate ( connection ) ; List ns = c . query ( "" select id from customer where name = ? "" , new Object [ ] { name } , new BeanPropertyRowMapper ( List . class ) ) ; return ns ; }"
"Set the SQL ( query the date information in the runs where user_id is $user_id$ ) . Execute the SQL using $db$ and get the first data. Use A for loop to store the query results in a list. Finally, return rendered 'all_runs.html' and pass the query results to the runs parameter.","public String allRuns ( Model model , JdbcTemplate db , Integer user_id ) { String sql = "" select date from runs where user_id = ? "" ; List result = db . query ( sql , new Integer [ ] { user_id } , new BeanPropertyRowMapper ( List . class ) ) ; List runs = new ArrayList ( ) ; for ( Object row : result ) { runs . add ( row ) ; } model . addAttribute ( "" runs "" , runs ) ; return "" all_runs.html "" ; }"
"Set up SQL ( query all columns in the app table based on $date$ ) , execute SQL based on $conn$ and get all the query results. Use for loop to iterate through all query results, insert each piece of data into a list, and return the list.","public List selectValue ( JdbcTemplate connection , Object date ) { String query_sql = "" select * from app where date = ? "" ; List results = connection . query ( query_sql , new Object [ ] { date } , new BeanPropertyRowMapper ( List . class ) ) ; List apps = new ArrayList ( ) ; for ( Object i : results ) { apps . add ( i ) ; } return apps ; }"
"Get the database engine and establish a connection through $BASE$. Execute the SQL statement ( query all the query results of all the information in the Offre table based on $prix_offre$ ) , use for loop to insert the data one by one into a list, close the connection, and return the list.","public List getBd ( DataSource BASE , Object prix_offre ) { JdbcTemplate engine = new JdbcTemplate ( BASE ) ; List query = engine . query ( "" select * from Offre where prix_offre = ? "" , new Object [ ] { prix_offre } , new BeanPropertyRowMapper ( List . class ) ) ; List data = new ArrayList ( ) ; for ( Object i : query ) { data . add ( i ) ; } return data ; }"
"Try the following code: set the SQL ( where username is $username$, password is $password$ and por is $port$ in users query ) . Execute the SQL with $conn$ and get the first data. Print each data in the query results using the for loop. If an exception occurs, the 'failed' information is printed.","public void pymysqlConnect ( JdbcTemplate conn , Object username , Object password , Integer port ) { try { String sql = "" select * from users where username = ? and password = ? and port = ? "" ; List res = conn . query ( sql , new Object [ ] { username , password , port } , new BeanPropertyRowMapper ( List . class ) ) ; for ( Object k : res ) { System . out . println ( k ) ; } } catch ( Exception e ) { System . out . println ( "" failed "" ) ; } }"
"Experiment with executing SQL statements over a $conn$ connection ( by querying all columns in the flightsAgain where the id of flight is $flightID$ ) and get all the data, turn each query result into a dict and store it as a list and return. If a ValueError exception occurs, render and return ""error.html"".","public Object book ( Model model , JdbcTemplate conn , Integer flightID ) { try { List flight_data = conn . query ( "" select * from flightsAgain where flightID = ? "" , new Integer [ ] { flightID } , new BeanPropertyRowMapper ( List . class ) ) ; List results = new ArrayList ( ) ; for ( Object i : flight_data ) { results . add ( i ) ; } return results ; } catch ( Exception e ) { return "" error.html "" ; } }"
"Use $host$ to get the database engine and execute SQL ( get the abstrID column in the tblGW table processed by the counting method where abstrName is $name$ ) , get all the data, and finally return the 0th element of the oth row of the query result.","public char getNum ( DataSource host , Object name ) { JdbcTemplate engine = new JdbcTemplate ( host ) ; String sql = "" select count(abstrID) from tblGW where abstrName = ? "" ; List < String > row = engine . query ( sql , new Object [ ] { name } , new BeanPropertyRowMapper ( List . class ) ) ; return row . get ( 0 ) . charAt ( 0 ) ; }"
"Execute the SQL ( get the stars column in the movies where title is $title$ ) using $engine$ and get all the data, then print out the query result.","public List titleCall ( JdbcTemplate engine , Object title ) { List resultData = engine . query ( "" select stars from movies where title = ? "" , new Object [ ] { title } , new BeanPropertyRowMapper ( List . class ) ) ; System . out . println ( resultData ) ; return resultData ; }"
Execute SQL through $conn$ ( get NAME column in sqlite_master table based on $TYPE$ ) and get all the data. Then use for loop to store each item of the query results as list and finally return the contents of the list.,"public List testSqlaSanitisesDataOnInput ( JdbcTemplate conn , Object TYPE ) { String NAME_sql = "" select NAME from sqlite_master where TYPE = ? "" ; List results = conn . query ( NAME_sql , new Object [ ] { TYPE } , new BeanPropertyRowMapper ( List . class ) ) ; List NAMES = new ArrayList ( ) ; for ( Object i : results ) { NAMES . add ( i ) ; } return NAMES ; }"
"Get the database connection from $engine$ , execute the SQL statement by the connection ( query all columns in the players when the player_id is $pid$ ) and return after getting all the data.","public List selectValue ( DataSource engine , Integer pid ) { JdbcTemplate conn = new JdbcTemplate ( engine ) ; String sql = "" select * from players where player_id = ? "" ; List results = conn . query ( sql , new Object [ ] { pid } , new BeanPropertyRowMapper ( List . class ) ) ; return results ; }"
Use $conn$ to execute SQL ( query all columns in the metadata table based on $id$ ) and get the first piece of data. Print the query results and return.,"public Object setupClass ( JdbcTemplate conn , String id ) { List foo = conn . query ( "" select * from metadata where id = ? "" , new Object [ ] { id } , new BeanPropertyRowMapper ( List . class ) ) ; System . out . println ( foo . get ( 0 ) ) ; return foo . get ( 0 ) ; }"
Use $conn$ to execute SQL ( get 'column' column in the 'table' table based on $type$ ) and get all the data. Then use information method to process the query results and finally return the query results.,"public List selectCols ( JdbcTemplate con , String type ) { List results = con . query ( "" select column from table where type = ? "" , new Object [ ] { type } , new BeanPropertyRowMapper ( List . class ) ) ; System . out . println ( results ) ; return results ; }"
"Get the database engine through $db_file$, set the parameter echo to True, and establish a connection. Execute the SQL statement ( query all the columns in the Directions table according to $directionID$ ) , get all the data, close the connection, take the query result as the value of the parameter steps and return in json format.","public JSONArray getDirectionsForDestination ( DataSource db_file , String directionID ) { JdbcTemplate connection = new JdbcTemplate ( db_file ) ; List steps = connection . query ( "" select * from Directions where directionID = ? "" , new Object [ ] { directionID } , new BeanPropertyRowMapper ( List . class ) ) ; return JSONObject . parseArray ( steps . toString ( ) ) ; }"
"If $type$ is not None, use $conn$ to execute SQL ( query the name in the master_table table based on $type$ ) and return the execution result. Otherwise, retutn None.","public List getTableNames ( JdbcTemplate conn , String type ) { if ( type != "" "" && type != null ) { List names = conn . query ( "" select name from master_table where type = ? "" , new Object [ ] { type } , new BeanPropertyRowMapper ( List . class ) ) ; return names ; } else { return null ; } }"
"Set up sql ( query all the information in the db_table table based on $wildcards$ ) ,execute SQL with $conn$, get all the query results, print and return the execution results.","public List mysqlSelect ( JdbcTemplate conn , String wildcards ) { List rslt = conn . query ( "" select * from db_table where wildcards = ? "" , new Object [ ] { wildcards } , new BeanPropertyRowMapper ( List . class ) ) ; System . out . println ( rslt ) ; return rslt ; }"
"connect the database according to $db$.Execute SQL ( query the user_id column in the users table with the condition that $user_id$ and age is less than $age$ ) , get all the query results,use for loop to print each query result and each query result converted to dict.","public void textSql ( DataSource db , String user_id , String age ) { JdbcTemplate conn = new JdbcTemplate ( db ) ; List s = conn . query ( "" select user_id from users where user_id = ? and age < ? "" , new Object [ ] { user_id , age } , new BeanPropertyRowMapper ( List . class ) ) ; for ( Object x : s ) { System . out . println ( x ) ; } }"
"If $schema_name$ is reversed, return False; otherwise use $conn$ to execute SQL ( get table_name column in all_tables table with table_name as $name$ and owner as $schema_name$ ) , get all the data and return query result.","public List selectValue ( JdbcTemplate conn , String schema_name , String name ) { if ( schema_name != "" "" && schema_name != null ) { List rs = conn . query ( "" select table_name from all_tables where table_name = ? and owner = ? "" , new Object [ ] { name , schema_name } , new BeanPropertyRowMapper ( List . class ) ) ; return rs ; } else { return null ; } }"
"Try to execute the SQL statement ( get all the columns in the pg_stat_activity table ) through $conn$,get all the data and return the query results. Print exception information when Exception appears.","public List test ( JdbcTemplate conn ) { List records = null ; try { records = conn . query ( "" select * from pg_stat_activity "" , new BeanPropertyRowMapper ( List . class ) ) ; } catch ( Exception e ) { e . printStackTrace ( ) ; } return records ; }"
"Set the SQL statement ( Format the output string with the format ( ) function, query the otu_id in the samples where the id of input is $input_id$）,execute the SQL statement with the $conn$ connection to get all the data and use jsonify to return the retrieved data.","public JSONArray queryPage ( JdbcTemplate conn , String input_id ) { List infor = conn . query ( "" select otu_id from samples where input_id = ? "" , new Object [ ] { input_id } , new BeanPropertyRowMapper ( List . class ) ) ; return JSONObject . parseArray ( infor . toString ( ) ) ; }"
Execute SQL through $conn$ ( get all columns in the books table based on $isbn$ ) and get the first piece of data. Then convert the query results into list and return the contents of the list.,"public List getBookByIsbn ( JdbcTemplate conn , String isbn ) { List book = conn . query ( "" select * from books where isbn = ? "" , new Object [ ] { isbn } , new BeanPropertyRowMapper ( List . class ) ) ; return book ; }"
"If the content of $database_name$ is ""sqlite"", then use $conn$ to execute SQL ( query the paper information in database based on $database_uri$ ) ,get all the data, and return the query result. Return False if $database_name$ is something else.","public List createEngine ( JdbcTemplate conn , String database_uri , String database_name ) { if ( "" sqlite "" . equals ( database_name ) ) { List papers = conn . query ( "" select paper from database_name where database_uri = ? "" , new Object [ ] { database_uri } , new BeanPropertyRowMapper ( List . class ) ) ; return papers ; } else { return null ; } }"
"Creating a database engine with $db_string$. Try to set up SQL ( query all columns in tb_user where senha is $senha$ ) ,execute SQL to get all the data and return it. If an Exception error occurs, the specific Exception information is printed and the query result is assigned to False. Finally, the query results are returned.","public List selectValue ( DataSource db_string , String senha ) { JdbcTemplate conn = new JdbcTemplate ( db_string ) ; try { List res = conn . query ( "" select * from tb_user where senha = ? "" , new Object [ ] { senha } , new BeanPropertyRowMapper ( List . class ) ) ; return res ; } catch ( Exception e ) { e . printStackTrace ( ) ; return null ; } }"
Use $e$ to connect to the database and execute the SQL ( get all the columns in the ontime_data table processed by the counting method based on $Origin$ ) and get all the data. Finally return the query results.,"public List selectCount ( DataSource e , String Origin ) { JdbcTemplate conn = new JdbcTemplate ( e ) ; List result = conn . query ( "" select count(*) from ontime_data where Origin = ? "" , new Object [ ] { Origin } , new BeanPropertyRowMapper ( List . class ) ) ; return result ; }"
Use $conn$ to execute the SQL ( get the name column in the tb1 table based on $value$ ) and get all the data. Then set the assertion that the length of the query result is greater than 0. Finally return the 0th element of the query result.,"public List testAsyncCursorServerSide ( JdbcTemplate conn , String value ) { List names = conn . query ( "" select name from tb1 where value = ? "" , new Object [ ] { value } , new BeanPropertyRowMapper ( List . class ) ) ; assert names . size ( ) > 0 ; if ( names . isEmpty ( ) ) { return null ; } else { return names ; } }"
"Use the $conn$ connection to execute the SQL ( query all columns in the reviews table based on $isbn$ ) and get all the data. If the query result is empty, use jsonify to return ""Erro, reviews not found""; otherwise, use jsonify to return all the results of the query.","public JSONArray isbnApi ( JdbcTemplate conn , String isbn ) { List values = conn . query ( "" select * from reviews where isbn = ? "" , new Object [ ] { isbn } , new BeanPropertyRowMapper ( List . class ) ) ; if ( values . isEmpty ( ) ) { JSONArray jsonArray = new JSONArray ( ) ; Object put = new JSONObject ( ) . put ( "" Erro "" , "" reviews not found "" ) ; jsonArray . add ( put ) ; return jsonArray ; } else { return JSONObject . parseArray ( values . toString ( ) ) ; } }"
"Execute SQL with $conn$ ( query all columns in the user table according to $name$ ) ,get all the query results, use for loop to traverse all obtained query results, print the format string, that is the id and name fields of each piece of data, and separate them with '|'.","public void selectDb ( JdbcTemplate conn , String name ) { List users = conn . query ( "" select * from user where name = ? "" , new Object [ ] { name } , new BeanPropertyRowMapper ( List . class ) ) ; for ( Object user : users ) { JSONObject jsonObject = JSONObject . parseObject ( user . toString ( ) ) ; System . out . println ( jsonObject . getString ( "" id "" ) + "" | "" + jsonObject . getString ( "" name "" ) ) ; } }"
"connect the database according to $engine$. Execute SQL ( query the manufacturer column in the items table according to $name$ ) and get all the query results. If the query results are empty, return None; otherwise, convert the query results to dict and return.","public List findBeers ( JdbcTemplate engine , String name ) { List result = engine . query ( "" select manufacturer from items where name = ? "" , new Object [ ] { name } , new BeanPropertyRowMapper ( List . class ) ) ; if ( result . isEmpty ( ) ) { return null ; } else { return result ; } }"
"Execute SQL with $db$ ( get the name column in the contact_mode table according to $id$ ) , and use for loop to print every item f all data.","public void getModes ( JdbcTemplate conn , String id ) { List modes = conn . query ( "" select name from contact_mode where id = ? "" , new Object [ ] { id } , new BeanPropertyRowMapper ( List . class ) ) ; for ( Object mode : modes ) { System . out . println ( mode ) ; } }"
